AD Link,Price,Car Name,Year,KM Run,Fuel Type,Location,Date,image_url
/ad/jaguar-f-pace-2020-ID116237568.html,,"USD 59,000",20204500 kmBenzine,2020,4500 km,Benzine,"Mar Elias, Beirut•",https://images.dubizzle.com.lb/thumbnails/13354352-400x300.jpeg
/ad/mercedes-benz-sl-class-2001-s600-v12-ID116286296.html,"USD 39,000",Mercedes-Benz SL-Class 2001  S600 v12,2001,25000 km,Benzine,"Mar Elias, Beirut•",6 days ago,https://images.dubizzle.com.lb/thumbnails/13605156-400x300.jpeg
/ad/mercedes-benz-s-class-2010-ID116285544.html,"USD 100,000",Mercedes-Benz S-Class 2010,2010,11000 km,Benzine,"Mar Elias, Beirut•",6 days ago,https://images.dubizzle.com.lb/thumbnails/13600468-400x300.jpeg
/ad/free-registrationnnn-land-rover-range-rover-sport-2014-grey-v8-sc-ID116018570.html,"USD 32,000",FREE REGISTRATIONNNN Land Rover Range Rover Sport 2014 Grey V8 SC,2014,100000 km,Benzine,"Dekwaneh, Metn•",6 days ago,https://images.dubizzle.com.lb/thumbnails/12259951-400x300.jpeg
/ad/citroen-c4-2013-ID116306634.html,"USD 5,700",Citroen C4 2013,2013,142000 km,Benzine,"Bsalim, Metn•",6 days ago,https://images.dubizzle.com.lb/thumbnails/13709598-400x300.jpeg
/ad/honda-cr-v-2014-ID116352119.html,"USD 12,900",Honda CR-V 2014,2014,150000 km,Benzine,"Tayouneh, Beirut•",6 days ago,https://images.dubizzle.com.lb/thumbnails/13945980-400x300.jpeg
/ad/ford-ecosport-2015-ID116352112.html,"USD 6,800",Ford EcoSport 2015,2015,100000 km,Benzine,"Hadath, Baabda•",6 days ago,https://images.dubizzle.com.lb/thumbnails/13945947-400x300.jpeg
/ad/%D8%A3%D9%86%D8%B6%D9%81-%D9%88%D8%A3%D8%B1%D8%AE%D8%B5-%D8%B3%D9%8A%D8%A7%D8%B1%D8%A7%D8%AA-%D8%A8%D8%A7%D9%84%D8%A8%D9%84%D8%AF-ID116352109.html,"USD 5,200",أنضف وأرخص سيارات بالبلد,2011,135000 km,Benzine,"Abou Samra, Tripoli•",6 days ago,https://images.dubizzle.com.lb/thumbnails/13945931-400x300.jpeg
/ad/volkswagen-id3-2023-ID116102594.html,,"USD 22,500",202326000 kmElectric,2023,26000 km,Electric,"Bouar, Keserouan•",https://images.dubizzle.com.lb/thumbnails/12685211-400x300.jpeg
/ad/audi-a8-2016-ID116223691.html,"USD 24,000",Audi A8 2016,2016,130000 km,Benzine,"Bouar, Keserouan•",6 days ago,https://images.dubizzle.com.lb/thumbnails/13283724-400x300.jpeg
/ad/audi-a6-2016-ID116218718.html,"USD 16,500",Audi A6 2016,2016,94000 km,Benzine,"Bouar, Keserouan•",6 days ago,https://images.dubizzle.com.lb/thumbnails/13260012-400x300.jpeg
/ad/land-rover-velar-2018-v6-r-dynamic-ID116344234.html,"USD 41,000",Land Rover Velar 2018 v6 R dynamic,2018,70000 km,Benzine,"Jounieh, Keserouan•",6 days ago,https://images.dubizzle.com.lb/thumbnails/13904912-400x300.jpeg
/ad/mercedes-benz-clk-class-2004-ID116352075.html,"USD 6,000",Mercedes-Benz CLK-Class 2004,2004,26000 km,Benzine,"Jounieh, Keserouan•",6 days ago,https://images.dubizzle.com.lb/thumbnails/13945769-400x300.jpeg
/ad/mercedes-benz-c-class-2015-ID116340434.html,"USD 18,000",Mercedes-Benz C-Class 2015,2015,149000 km,Benzine,"Ain El Remmaneh, Baabda•",6 days ago,https://images.dubizzle.com.lb/thumbnails/13885707-400x300.jpeg
/ad/renault-sandero-stepway-2018-ID116352072.html,"USD 9,000",Renault Sandero Stepway 2018,2018,50000 km,Benzine,"Champville, Metn•",6 days ago,https://images.dubizzle.com.lb/thumbnails/13945744-400x300.jpeg
/ad/kia-cerato-2012-ID116352064.html,"USD 6,500",Kia Cerato 2012,2012,1 km,Benzine,"Rawche, Beirut•",6 days ago,https://images.dubizzle.com.lb/thumbnails/13945719-400x300.jpeg
/ad/renault-kangoo-2014-ID116352062.html,"USD 10,500",Renault Kangoo 2014,2014,80000 km,Benzine,"Ras Al Nabaa, Beirut•",6 days ago,https://images.dubizzle.com.lb/thumbnails/13945713-400x300.jpeg
/ad/subaru-outback-2014-ID116325990.html,"USD 11,998",Subaru Outback 2014,2014,172000 km,Diesel,"Dekwaneh, Metn•",6 days ago,https://images.dubizzle.com.lb/thumbnails/13810178-400x300.jpeg
/ad/hyundai-santa-fe-2016-ID116352055.html,"USD 14,500",Hyundai Santa Fe 2016,2016,90000 km,Benzine,"Zahle Town, Zahle•",6 days ago,https://images.dubizzle.com.lb/thumbnails/13945679-400x300.jpeg
/ad/toyota-c-hr-2022-ID116352029.html,"USD 30,000",Toyota C-HR 2022,2022,New,Electric,"Mansourieh, Metn•",6 days ago,https://images.dubizzle.com.lb/thumbnails/13945525-400x300.jpeg
/ad/%D9%81%D9%88%D9%84%D9%83%D8%B3%D9%81%D8%A7%D8%BA%D9%86-%D8%A3%D8%AE%D8%B1%D9%89-1979-ID116308092.html,"USD 7,000",فولكسفاغن أخرى 1979,1979,200000 km,Benzine,"Al Minie, Minieh-Denniye•",6 days ago,https://images.dubizzle.com.lb/thumbnails/13716719-400x300.jpeg
/ad/mazda-cx-7-2008-special-n-345777-black-japan-ID116325325.html,,,,,,,,https://images.dubizzle.com.lb/thumbnails/13806619-400x300.jpeg
